,month,hour,year,day,count,date,maxtemp,atemp,mintemp,maxhum,ahum,minhum,maxwind,awind,minwind,prec,day_of_week,vehicle_type,vehicle_encoded
198,1,8,2019,21,10,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,bicycle,1
199,1,8,2019,22,35,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,bicycle,1
200,1,8,2019,23,22,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
201,1,8,2019,24,24,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
202,1,8,2019,25,26,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
203,1,8,2019,26,8,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
204,1,8,2019,27,5,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
205,1,8,2019,28,34,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,bicycle,1
206,1,8,2019,29,26,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,bicycle,1
207,1,8,2019,30,28,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,bicycle,1
208,1,8,2019,31,16,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,bicycle,1
209,1,9,2019,1,1,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,bicycle,1
210,1,9,2019,3,3,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,bicycle,1
211,1,9,2019,4,7,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,bicycle,1
212,1,9,2019,5,1,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,bicycle,1
213,1,9,2019,6,3,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,bicycle,1
214,1,9,2019,7,8,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,bicycle,1
215,1,9,2019,8,11,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,bicycle,1
216,1,9,2019,9,13,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,bicycle,1
217,1,9,2019,10,9,2019-01-10,60,51,40,86,56,32,10,3,0,0,3,bicycle,1
218,1,9,2019,11,6,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,bicycle,1
219,1,9,2019,12,7,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,bicycle,1
220,1,9,2019,13,3,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,bicycle,1
221,1,9,2019,14,7,2019-01-14,50,43,36,86,70,57,14,6,0,0,0,bicycle,1
222,1,9,2019,15,13,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,bicycle,1
223,1,9,2019,16,10,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,bicycle,1
224,1,9,2019,17,23,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,bicycle,1
225,1,9,2019,18,19,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,bicycle,1
226,1,9,2019,19,9,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,bicycle,1
227,1,9,2019,20,9,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,bicycle,1
228,1,9,2019,21,22,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,bicycle,1
229,1,9,2019,22,10,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,bicycle,1
230,1,9,2019,23,16,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,bicycle,1
231,1,9,2019,24,19,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,bicycle,1
232,1,9,2019,25,23,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,bicycle,1
233,1,9,2019,26,9,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,bicycle,1
234,1,9,2019,27,17,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,bicycle,1
